source_id,name,lat,lon,district,height_m,pm25_g_s,no2_g_s,status
pvd_industrial,Cụm phát thải Phạm Văn Đồng,21.0706,105.7819,Bắc Từ Liêm,35,1.4,3.0,active
thach_ban_industrial,Cụm công nghiệp Thạch Bàn,21.0257,105.9143,Long Biên,42,1.8,4.4,active
minh_khai_stack,Nguồn Minh Khai - Vĩnh Tuy,20.9991,105.8751,Hai Bà Trưng,30,1.2,3.8,active
thanh_tri_cluster,Cụm phát thải Thanh Trì,20.9190,105.8465,Thanh Trì,38,1.5,3.6,active
pha_lai_power,Nhà máy nhiệt điện Phả Lại (Hải Dương),21.1450,106.3450,Long Biên,80,3.2,8.5,active
but_son_cement,Nhà máy xi măng Bút Sơn (Hà Nam),20.5750,105.8890,Hoàng Mai,60,2.8,4.2,active
hoa_binh_industrial,Khu công nghiệp Lương Sơn (Hòa Bình),20.8130,105.3380,Thanh Xuân,45,1.6,3.2,active
thai_nguyen_steel,Tổ hợp gang thép Thái Nguyên,21.5900,105.8450,Bắc Từ Liêm,55,4.5,9.2,active
hoang_thach_cement,Xi măng Hoàng Thạch (Hải Dương),21.0700,106.4000,Long Biên,65,3.0,5.5,active
cam_pha_power,Nhà máy nhiệt điện Cẩm Phả (Quảng Ninh),21.0000,107.2000,Long Biên,90,4.2,9.5,active
mao_khe_power,Nhà máy nhiệt điện Mạo Khê (Quảng Ninh),21.0700,106.8100,Long Biên,85,3.5,8.0,active
dinh_vu_industrial,Khu công nghiệp Đình Vũ - Hải Phòng,20.8300,106.7800,Hoàng Mai,55,2.4,5.5,active
bim_son_cement,Nhà máy xi măng Bỉm Sơn (Thanh Hóa),20.0700,105.8500,Hoàng Mai,75,3.2,5.0,active
long_son_cement,Nhà máy xi măng Long Sơn (Ninh Bình),20.0500,105.9700,Hoàng Mai,70,2.8,4.6,active
yen_bai_industrial,Khu công nghiệp Yên Bái,21.7200,104.9000,Bắc Từ Liêm,50,2.0,4.2,active
lang_son_industrial,Khu công nghiệp Lạng Sơn,21.8500,106.7600,Long Biên,45,1.7,3.5,active
